subject_area,subject_codes,recommended_template_additions,default_extra_sections
Architecture,ARCH_DSN,"Studio briefs, drawings, model reviews and site-analysis tasks",Use portfolio submissions and staged design review checkpoints.
Co-curricular,ART|PE,"Portfolio/performance evidence, activity logs and reflection",Use lighter completion gates and teacher-reviewed participation evidence.
Commerce,APP_MATH|ACC|BST|ECO|CORP_ACC,"Accounting practice sets, case studies, worksheets and project work",Use practice activities plus teacher-reviewed business/accounting assignments.
Competitive Prep,JEE_PHY|JEE_MATH|NEET_BIO|UPSC_POL|APT_REAS,"Timed quizzes, previous-year questions, explanations and performance review","Use quiz banks, analytics and retake rules for exam preparation."
Core,MATH|SCI|SST|EVS,"Concept overview, practice worksheet, quiz, assignment and mastery gate",Keep chapter gates short and align assignments to board/unit outcomes.
Design,UI_UX|TYPO,"Portfolio tasks, critique boards, design briefs and usability review",Use assignments for portfolio evidence and discussion for critique.
Elective,COMP|IP|ENT,"Exploratory activities, short projects and optional extension tasks",Use flexible completion with teacher-reviewed project evidence.
Emerging Tech,CLOUD_ARCH|PROMPT_ENG|FSD_WEB|CYBER_SEC|DATA_SCI|BLK_CHAIN,"Tool labs, guided demos, project tasks and applied reflection",Use practical assignments and short quizzes for tool/concept validation.
Engineering,DSA|DBMS|OS|CN|AI_ML|SWE|THERMO|CIRCUITS,"Lab work, code/practical tasks, design problems and project checkpoints",Use assignments for lab/project evidence and quizzes for theory checkpoints.
Humanities,HIS|GEO|POL|PSY|SOC,"Maps, timelines, case studies, source analysis and essay assignments",Use document/source analysis and reflective written submissions.
Language,ENG|HIN|REG_LANG,"Reading passages, grammar tasks, writing assignments, speaking/listening tasks","Use chapter sections for reading, grammar, writing and oral evidence."
Law,LAW_CON|LAW_IPC|LAW_CONTR|JURIS,"Bare act reading, case briefs, argument drafting and moot tasks",Use assignments for case analysis and discussion activities for argumentation.
Management,FIN_MGT|MKT_MGT|OB|PROD_MGT,"Case studies, simulations, presentations and applied project work","Use group work, reflective journals and short concept quizzes."
Medical,ANAT|PHYS|PHARM|PATH|COM_MED,"Clinical concepts, diagrams, case scenarios and practical competency checks",Use competency-style assignments and keep sensitive patient data out.
Nursing,NUR_FND,"Clinical procedure checklist, case notes, skill demonstration and viva prep",Use rubrics for practical skill evidence and reflective clinical logs.
Professional,TAX|AUDIT,"Exam-style practice, standards reference, mock tests and revision plans",Use timed quizzes and structured practice assignments.
Science,PHY|CHE|BIO|MATH_ADV,"Lab safety, experiments, diagrams, observations and practical reports",Use assignments for lab/practical evidence and quizzes for conceptual checks.
Vocational,ENG_DRAW|WORK_PRAC|ELEC_THEORY|FIT_THEORY,"Safety checklist, practical demonstration, workplace evidence and portfolio",Use rubrics and evidence uploads for skill demonstration.
