template_code,section_number,item_order,activity_key,recommended_activity_type,safe_placeholder_module,default_name,purpose,completion_mode,completion_required,gradebook_category,default_points,visible,pii_safe_note,completion_rule,unlock_next,grade_to_pass
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,1,course_welcome,page,page,Welcome to this course,Course introduction navigation guide and learning expectations,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,2,teacher_support,page,page,Teacher Support and Contact Rules,"Teacher profile, support hours, safe communication rules, and escalation path",2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,3,course_announcements,forum,page,Announcements,Teacher announcements for the course,0,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",none,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,1,syllabus_plan,page,page,Syllabus and Year Plan,"Board syllabus, chapter sequence, textbook references, and monthly pacing",2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,2,learning_outcomes,page,page,Learning Outcomes,Grade-level competencies and measurable outcomes for the subject,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,3,assessment_rubrics,page,page,Assessment Pattern and Rubrics,"Quiz, assignment, notebook, project, practical, and final assessment rules",2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,4,class_help_forum,forum,page,Class Help Forum,Common academic questions and teacher responses,0,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",none,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,1,chapter01_overview,page,page,Chapter 1 - Overview,Learning objectives keywords and success criteria for Chapter 1,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,2,chapter01_study_material,book,page,Chapter 1 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,3,chapter01_discussion,forum,page,Chapter 1 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,4,chapter01_practice_quiz,quiz,page,Chapter 1 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,5,chapter01_assignment,assign,page,Chapter 1 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,6,chapter01_completion_gate,quiz,page,Chapter 1 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 2,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,1,chapter02_overview,page,page,Chapter 2 - Overview,Learning objectives keywords and success criteria for Chapter 2,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,2,chapter02_study_material,book,page,Chapter 2 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,3,chapter02_discussion,forum,page,Chapter 2 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,4,chapter02_practice_quiz,quiz,page,Chapter 2 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,5,chapter02_assignment,assign,page,Chapter 2 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,6,chapter02_completion_gate,quiz,page,Chapter 2 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 3,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,1,chapter03_overview,page,page,Chapter 3 - Overview,Learning objectives keywords and success criteria for Chapter 3,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,2,chapter03_study_material,book,page,Chapter 3 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,3,chapter03_discussion,forum,page,Chapter 3 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,4,chapter03_practice_quiz,quiz,page,Chapter 3 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,5,chapter03_assignment,assign,page,Chapter 3 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,6,chapter03_completion_gate,quiz,page,Chapter 3 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 4,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,1,chapter04_overview,page,page,Chapter 4 - Overview,Learning objectives keywords and success criteria for Chapter 4,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,2,chapter04_study_material,book,page,Chapter 4 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,3,chapter04_discussion,forum,page,Chapter 4 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,4,chapter04_practice_quiz,quiz,page,Chapter 4 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
