rule_code,from_grade_code,from_stream_code,result_status,promotion_decision,to_grade_code,to_stream_code,requires_manual_review,notes
PROMOTE_NUR_TO_LKG,NUR,GEN,PASS,PROMOTED,LKG,GEN,0,Default general promotion rule.
PROMOTE_LKG_TO_UKG,LKG,GEN,PASS,PROMOTED,UKG,GEN,0,Default general promotion rule.
PROMOTE_UKG_TO_STD01,UKG,GEN,PASS,PROMOTED,STD01,GEN,0,Default general promotion rule.
PROMOTE_BAL_TO_STD01,BAL,GEN,PASS,PROMOTED,STD01,GEN,0,Default general promotion rule.
PROMOTE_STD01_TO_STD02,STD01,GEN,PASS,PROMOTED,STD02,GEN,0,Default general promotion rule.
PROMOTE_STD02_TO_STD03,STD02,GEN,PASS,PROMOTED,STD03,GEN,0,Default general promotion rule.
PROMOTE_STD03_TO_STD04,STD03,GEN,PASS,PROMOTED,STD04,GEN,0,Default general promotion rule.
PROMOTE_STD04_TO_STD05,STD04,GEN,PASS,PROMOTED,STD05,GEN,0,Default general promotion rule.
PROMOTE_STD05_TO_STD06,STD05,GEN,PASS,PROMOTED,STD06,GEN,0,Default general promotion rule.
PROMOTE_STD06_TO_STD07,STD06,GEN,PASS,PROMOTED,STD07,GEN,0,Default general promotion rule.
PROMOTE_STD07_TO_STD08,STD07,GEN,PASS,PROMOTED,STD08,GEN,0,Default general promotion rule.
PROMOTE_STD08_TO_STD09,STD08,GEN,PASS,PROMOTED,STD09,GEN,0,Default general promotion rule.
PROMOTE_STD09_TO_STD10,STD09,GEN,PASS,PROMOTED,STD10,GEN,0,Default general promotion rule.
STD10_TO_STD11_SCI,STD10,GEN,PASS,STREAM_SELECTED,STD11,SCI,1,Std 10 to Std 11 requires manual stream selection and subject validation.
STD10_TO_STD11_COM,STD10,GEN,PASS,STREAM_SELECTED,STD11,COM,1,Std 10 to Std 11 requires manual stream selection and subject validation.
STD10_TO_STD11_ARTS,STD10,GEN,PASS,STREAM_SELECTED,STD11,ARTS,1,Std 10 to Std 11 requires manual stream selection and subject validation.
STD10_TO_STD11_VOC,STD10,GEN,PASS,STREAM_SELECTED,STD11,VOC,1,Std 10 to Std 11 requires manual stream selection and subject validation.
STD11_SCI_TO_STD12_SCI,STD11,SCI,PASS,PROMOTED,STD12,SCI,0,Continue same stream to Std 12 unless school approves stream change.
STD11_COM_TO_STD12_COM,STD11,COM,PASS,PROMOTED,STD12,COM,0,Continue same stream to Std 12 unless school approves stream change.
STD11_ARTS_TO_STD12_ARTS,STD11,ARTS,PASS,PROMOTED,STD12,ARTS,0,Continue same stream to Std 12 unless school approves stream change.
STD11_VOC_TO_STD12_VOC,STD11,VOC,PASS,PROMOTED,STD12,VOC,0,Continue same stream to Std 12 unless school approves stream change.
STD12_SCI_TO_ALUMNI,STD12,SCI,COMPLETED,ALUMNI,ALUMNI,ALUMNI,1,Mark completed students as alumni; keep records and avoid deleting users.
STD12_COM_TO_ALUMNI,STD12,COM,COMPLETED,ALUMNI,ALUMNI,ALUMNI,1,Mark completed students as alumni; keep records and avoid deleting users.
STD12_ARTS_TO_ALUMNI,STD12,ARTS,COMPLETED,ALUMNI,ALUMNI,ALUMNI,1,Mark completed students as alumni; keep records and avoid deleting users.
STD12_VOC_TO_ALUMNI,STD12,VOC,COMPLETED,ALUMNI,ALUMNI,ALUMNI,1,Mark completed students as alumni; keep records and avoid deleting users.
REPEAT_SAME_GRADE,ANY,ANY,REPEAT,REPEATED,SAME,SAME,1,Create next-year same grade/stream cohort and enrol student there. Do not keep them only in old cohort.
TRANSFER_OUT,ANY,ANY,LEFT,TRANSFER_OUT,,,1,"Remove future cohort membership, optionally suspend user after export. Do not delete records."
