template_code,section_number,section_name,purpose,default_visibility,completion_relevant,teacher_notes,student_instructions
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,Course Home & Orientation,"Welcome, teacher contact rules, announcements, course navigation, learner expectations",1,0,Keep this section open for every student. Replace placeholder pages with school-specific instructions and safe contact rules.,Read the orientation before starting Chapter 1.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,Syllabus & Assessment Plan,"Subject syllabus, learning outcomes, textbooks, assessment pattern, rubrics, academic honesty",1,0,Use this section for board syllabus links and assessment rules. Keep personal student data out of course content.,Review the syllabus and assessment rules before attempting chapter activities.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,Chapter 1,"Chapter 1 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the first textbook or board chapter. The completion gate unlocks Chapter 2.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,Chapter 2,"Chapter 2 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the second textbook or board chapter. This section unlocks after Chapter 1 gate completion.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,Chapter 3,"Chapter 3 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the third textbook or board chapter. This section unlocks after Chapter 2 gate completion.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,Chapter 4,"Chapter 4 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the fourth textbook or board chapter. This section unlocks after Chapter 3 gate completion.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,Chapter 5,"Chapter 5 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the fifth textbook or board chapter. This section unlocks after Chapter 4 gate completion.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,Chapter 6,"Chapter 6 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the sixth textbook or board chapter. This section unlocks after Chapter 5 gate completion.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,Chapter 7,"Chapter 7 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the seventh textbook or board chapter. This section unlocks after Chapter 6 gate completion.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,Chapter 8,"Chapter 8 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the eighth textbook or board chapter. This section unlocks after Chapter 7 gate completion.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,Chapter 9,"Chapter 9 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the ninth textbook or board chapter. This section unlocks after Chapter 8 gate completion.,Complete the chapter gate to unlock the next chapter.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,Chapter 10,"Chapter 10 learning path with overview, study material, discussion, quiz, assignment, and completion gate",1,1,Replace placeholder content with the tenth textbook or board chapter. This section unlocks after Chapter 9 gate completion.,Complete the chapter gate to unlock final revision and assessment.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,Revision & Final Assessment,"Final revision, mock test, project or practical, feedback, and completion instructions",1,1,"Use this section for revision plans, final assessment, board exam practice, practicals, portfolio evidence, badges, and completion guidance.",Complete final revision and assessment activities as instructed by the teacher.
