source_name,url,used_for
Moodle Upload users documentation,https://docs.moodle.org/502/en/Upload_users,User CSV and profile_field_shortname convention
Moodle Upload courses documentation,https://docs.moodle.org/502/en/Upload_courses,Course CSV fields and CLI upload reference
Moodle Cohorts documentation,https://docs.moodle.org/502/en/Cohorts,Cohorts as site/category-wide enrolment groups
Moodle Roles and permissions documentation,https://docs.moodle.org/502/en/Roles_and_permissions,Role context mapping
UIDAI Masked Aadhaar FAQ,https://uidai.gov.in/en/283-faqs/aadhaar-online-services/e-aadhaar/1887-what-is-masked-aadhaar.html,Aadhaar masking note
UIDAI school admission article,https://uidai.gov.in/en/216-media-center/in-the-news/print-media/11333-aadhaar-not-mandatory-for-admission-in-school-uidai.html,Aadhaar is not mandatory for school admission note
Gujarat State School Textbook Board,https://gsstb.gujarat.gov.in/,Gujarat textbook/grade-medium reference
CBSE Academic Curriculum 2026-27,https://cbseacademic.nic.in/curriculum_2027.html,CBSE secondary/senior secondary curriculum reference
Moodle 5.0 release notes,https://moodledev.io/general/releases/5.0,Moodle 5.0.x server requirements and feature removals
Moodle 5.0.2 release notes,https://moodledev.io/general/releases/5.0/5.0.2,Moodle 5.0.2 status and release date
Moodle 5.2 release notes,https://moodledev.io/general/releases/5.2,Moodle 5.2 server requirements and branch 502 context
Moodle 5.2 developer docs introduction,https://moodledev.io/docs/5.2,Moodle 5.2 support dates
Moodle 5.2 upgrading docs,https://docs.moodle.org/502/en/Upgrading,Moodle 5.1 public directory restructure and upgrade notes
Moodle Adding a new course templatecourse documentation,https://docs.moodle.org/502/en/Adding_a_new_course,Using an existing course as a template through templatecourse CSV field
Moodle Activity completion documentation,https://docs.moodle.org/502/en/Activity_completion,Activity completion and To do progress behavior
Moodle Course completion documentation,https://docs.moodle.org/502/en/Using_Course_completion,Course completion criteria and reporting
Moodle Import course data documentation,https://docs.moodle.org/502/en/Import_course_data,Reusing activities and resources without user data
Moodle Badges documentation,https://docs.moodle.org/502/en/Badges,Core-safe completion credential fallback
Moodle Custom certificate plugin directory,https://moodle.org/plugins/mod_customcert,Optional certificate plugin reference
