template_code,section_number,section_name,purpose,default_visibility,completion_relevant,teacher_notes,student_instructions
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,Course Welcome & Orientation,"Course intro, teacher info, rules, how to use the course",1,0,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,Subject Overview,"Syllabus, learning outcomes, grading policy, required materials",1,0,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,Unit 1: Foundation Concepts,First core learning unit,1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,Unit 2: Guided Learning,Teacher-guided lessons and examples,1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,Unit 3: Practice & Skill Building,"Worksheets, quizzes, drills, exercises",1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,Checkpoint Assessment 1,"Quiz, assignment, or short test",1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,Unit 4: Applied Learning,"Real-world tasks, projects, experiments, reading tasks",1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,Unit 5: Collaboration & Discussion,"Group work, forums, peer activities",1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,Unit 6: Advanced / Enrichment,Higher-level content or optional extension,1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,Remediation & Support,"Extra help, re-teaching, revision resources",1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,Final Review,"Revision notes, practice test, exam guide",1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,Final Assessment,"Final test, project, oral exam, practical, or portfolio",1,1,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,Course Completion & Certificate,"Completion summary, feedback, badge/certificate/download",1,0,Replace placeholders with grade-level and subject-specific content. Keep section name pattern for reporting consistency.,Complete required activities in order. Follow teacher guidance for submissions and assessments.
