template_code,section_number,item_order,activity_key,recommended_activity_type,safe_placeholder_module,default_name,purpose,completion_mode,completion_required,gradebook_category,default_points,visible,pii_safe_note
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,1,welcome_page,page,page,Welcome to this course,Course introduction and navigation guide,1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,2,teacher_info,page,page,Teacher Information and Support Hours,"Teacher profile, contact rules, office/support hours",1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,0,3,announcements,forum,page,Announcements,Teacher announcements; students should normally not post here,0,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,1,syllabus,page,page,Syllabus and Course Plan,"Subject syllabus, textbooks, DIKSHA/NCERT/board references",1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,2,learning_outcomes,page,page,Learning Outcomes,Grade-level skills and competencies,1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,1,3,grading_policy,page,page,Grading Policy and Rubrics,"Assessment categories, passing rules, late submission rules",1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,1,u2_intro,page,page,Unit 1: Lesson Introduction,What students will learn in this unit,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,2,u2_material,page,page,Unit 1: Learning Material,Video/PDF/Page/Book/SCORM/H5P/external content placeholder,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,3,u2_guided_example,page,page,Unit 1: Guided Example,Teacher explanation or worked example,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,4,u2_practice,assign,page,Unit 1: Practice Activity,"Worksheet, assignment, H5P, or exercise",2,1,Practice / Classwork,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
